date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
2/1/2021,ID,1725,1513,0,212,6674,6674,225,0,1169,57,470637,0,,,,,,162683,132478,0,0,,,,,,81591,,0,603115,0,,78973,,,603115,0,990444,0,
2/1/2021,IL,21273,19259,20,2014,,,2387,0,,515,,0,,,,,278,1128613,,2312,0,,,,,,,,0,16100555,61263,,,,,,0,16100555,61263,
2/1/2021,IN,9989,9613,15,376,40437,40437,1594,89,7065,374,2335190,4005,,,,,201,628391,,1709,0,,,,,714746,,,0,7039744,25221,,,,,2963581,5714,7039744,25221,
2/1/2021,KS,3809,,30,,8489,8489,381,72,2311,97,900949,6911,,,,412,48,276668,,1983,0,,,,,,,,0,1177617,8894,,,,,1177617,8894,2221814,26960,
2/1/2021,KY,3780,3450,35,330,16725,16725,1314,38,3568,337,,0,,,,,178,364507,285138,1617,0,8605,30681,,,229908,43492,,0,3621461,31239,108391,341177,,,,0,3621461,31239,
2/1/2021,LA,8912,8340,53,572,,,1403,0,,,4617370,10548,,,,,187,401591,350623,965,0,,,,,,344321,,0,5018961,11513,,360086,,,,0,4967993,11474,
2/1/2021,MA,14607,14317,30,290,18008,18008,1676,0,,373,4103409,11221,,,,,222,526423,500415,2398,0,,,13999,,599434,389717,,0,13721200,88302,,,147875,476976,4603824,13491,13721200,88302,
2/1/2021,MD,7154,6978,27,176,32181,32181,1437,126,,371,2848563,7449,,163059,,,,355636,355636,1163,0,,,23333,,433006,9501,,0,7038562,25408,,,186392,,3204199,8612,7038562,25408,
2/1/2021,ME,595,585,5,10,1394,1394,164,4,,51,,0,13707,,,,28,39543,31853,219,0,713,8305,,,37042,12422,,0,1374090,7270,14432,150334,,,,0,1374090,7270,
2/1/2021,MI,15536,14609,11,927,,,1409,0,,336,,0,,,8803464,,170,612710,561307,2572,0,,,,,711592,481801,,0,9515056,49911,492095,,,,,0,9515056,49911,
